Pair,Condtion,Game,Time,Time2,Time3
2,modified,54,7749.0,1238407111250.0,1238407118999.0
2,modified,55,7749.0,1238407123250.0,1238407130999.0
2,modified,56,5749.0,1238407135250.0,1238407140999.0
2,modified,57,4850.0,1238407145250.0,1238407150100.0
2,modified,58,6499.0,1238407155500.0,1238407161999.0
2,modified,59,7767.0,1238407166333.0,1238407174100.0
2,modified,60,12899.0,1238407179100.0,1238407191999.0
2,modified,61,5767.0,1238407196333.0,1238407202100.0
2,modified,62,7899.0,1238407206100.0,1238407213999.0
2,modified,63,5850.0,1238407218250.0,1238407224100.0
2,modified,64,6888.0,1238407229111.0,1238407235999.0
2,modified,65,6850.0,1238407240250.0,1238407247100.0
2,modified,66,6600.0,1238407252500.0,1238407259100.0
2,modified,67,4958.0,1238407264142.0,1238407269100.0
2,modified,68,9850.0,1238407274250.0,1238407284100.0
2,modified,69,7900.0,1238407289200.0,1238407297100.0
2,modified,70,13767.0,1238407302333.0,1238407316100.0
2,modified,71,5900.0,1238407321200.0,1238407327100.0
2,modified,72,8600.0,1238407332500.0,1238407341100.0
2,modified,73,4934.0,1238407346166.0,1238407351100.0
2,modified,74,16900.0,1238407356200.0,1238407373100.0
2,modified,75,5000.0,1238407378100.0,1238407383100.0
3,normal,1,58989.0,1238407920111.0,1238407979100.0
3,normal,2,46666.0,1238407984333.0,1238408030999.0
3,normal,3,31767.0,1238408035333.0,1238408067100.0
3,normal,4,38934.0,1238408072166.0,1238408111100.0
3,normal,5,45900.0,1238408117200.0,1238408163100.0
3,normal,6,17975.0,1238408168125.0,1238408186100.0
3,normal,7,18900.0,1238408191200.0,1238408210100.0
3,normal,8,30900.0,1238408215200.0,1238408246100.0
3,normal,9,23958.0,1238408251142.0,1238408275100.0
3,normal,10,16989.0,1238408281111.0,1238408298100.0
3,normal,11,24833.0,1238408303166.0,1238408327999.0
3,normal,12,19499.0,1238408332500.0,1238408351999.0
3,normal,13,22899.0,1238408356100.0,1238408378999.0
3,normal,14,30000.0,1238408383100.0,1238408413100.0
3,normal,15,21600.0,1238408418500.0,1238408440100.0
3,normal,16,11958.0,1238408445142.0,1238408457100.0
3,normal,17,31899.0,1238408462100.0,1238408493999.0
3,normal,18,19767.0,1238408498333.0,1238408518100.0
3,normal,19,24934.0,1238408523166.0,1238408548100.0
3,normal,20,35850.0,1238408553250.0,1238408589100.0
3,normal,21,23833.0,1238408594166.0,1238408617999.0
3,normal,22,13666.0,1238408622333.0,1238408635999.0
3,normal,23,14850.0,1238408640250.0,1238408655100.0
3,normal,24,24833.0,1238408660166.0,1238408684999.0
3,normal,25,23850.0,1238408689250.0,1238408713100.0
3,normal,26,31934.0,1238408718166.0,1238408750100.0
3,normal,27,15857.0,1238408755142.0,1238408770999.0
3,normal,28,29850.0,1238408775250.0,1238408805100.0
3,normal,29,15975.0,1238408811125.0,1238408827100.0
3,normal,30,13767.0,1238408832333.0,1238408846100.0
3,normal,31,8499.0,1238408851500.0,1238408859999.0
3,normal,32,9600.0,1238408864500.0,1238408874100.0
3,normal,33,12600.0,1238408879500.0,1238408892100.0
3,normal,34,16857.0,1238408897142.0,1238408913999.0
3,normal,35,18767.0,1238408918333.0,1238408937100.0
3,normal,36,10975.0,1238408942125.0,1238408953100.0
3,normal,37,6975.0,1238408958125.0,1238408965100.0
3,normal,38,16833.0,1238408971166.0,1238408987999.0
3,normal,39,10000.0,1238408992100.0,1238409002100.0
3,normal,40,18000.0,1238409007100.0,1238409025100.0
3,normal,41,12958.0,1238409030142.0,1238409043100.0
3,normal,42,14874.0,1238409048125.0,1238409062999.0
3,normal,43,20850.0,1238409067250.0,1238409088100.0
3,normal,44,13975.0,1238409094125.0,1238409108100.0
3,normal,45,6857.0,1238409114142.0,1238409120999.0
4,normal,0,86975.0,1238416920125.0,1238417007100.0
4,normal,1,47767.0,1238417012333.0,1238417060100.0
4,normal,2,37767.0,1238417065333.0,1238417103100.0
4,normal,3,26958.0,1238417108142.0,1238417135100.0
4,normal,4,25958.0,1238417140142.0,1238417166100.0
4,normal,5,17600.0,1238417171500.0,1238417189100.0
4,normal,6,25000.0,1238417194100.0,1238417219100.0
4,normal,7,42000.0,1238417223100.0,1238417265100.0
4,normal,8,21958.0,1238417270142.0,1238417292100.0
4,normal,9,8600.0,1238417297500.0,1238417306100.0
4,normal,10,24934.0,1238417311166.0,1238417336100.0
4,normal,11,19857.0,1238417341142.0,1238417360999.0
4,normal,12,11767.0,1238417365333.0,1238417377100.0
4,normal,13,13958.0,1238417382142.0,1238417396100.0
4,normal,14,17958.0,1238417401142.0,1238417419100.0
4,normal,15,6600.0,1238417424500.0,1238417431100.0
4,normal,16,9975.0,1238417436125.0,1238417446100.0
4,normal,17,15600.0,1238417451500.0,1238417467100.0
4,normal,18,16600.0,1238417472500.0,1238417489100.0
4,normal,19,35600.0,1238417494500.0,1238417530100.0
4,normal,20,8799.0,1238417535200.0,1238417543999.0
4,normal,21,9000.0,1238417548100.0,1238417557100.0
4,normal,22,15749.0,1238417562250.0,1238417577999.0
4,normal,23,7749.0,1238417582250.0,1238417589999.0
