"Pair","Condtion","Game","X","Y","Z","Role","Success","Target","Introducer","Succ_Introducer","Participant","Zdif","Xdif","Xratio","Zratio"
1,"normal",1,0.0165100440554483,0.0109289445163548,0.00532151638553149,"matcher",1,"freedom",0,0,26,0.242027699947357,0.823722613044084,3.40342288598887,0.293821847445633
1,"normal",2,0.0652917010140172,0.127063574927243,0.046341608652595,"director",1,"anger",1,1,26,4.42350679636002,3.07784488983452,0.695792960545963,1.437209136487
1,"normal",3,0.0263079014208112,0.0103960703069379,0.0152488545109111,"matcher",1,"reality",0,0,26,0.360405564308167,0.948661189526318,2.63220461467449,0.379909675116068
1,"normal",4,0.118702132988582,0.100191662628752,0.0363297959394826,"director",1,"death",1,1,26,0.720720231533051,1.728425363719,2.39819181992775,0.416980823506489
1,"normal",5,0.0117892297691107,0.005090139550269,0.00229581114178386,"matcher",1,"strength",0,0,26,0.127225697040558,0.753569409251213,5.92309122119398,0.168830761279145
1,"normal",6,0.0654104867879326,0.126810794826154,0.0303110447916728,"director",0,"envy",1,0,26,1.93286353349686,2.93247896374669,1.51716813573557,0.659122727696341
1,"normal",7,0.000302086811496393,0.00143911687537886,0.0010786370922606,"matcher",1,"strength",0,0,26,0.0313981771469116,0.0140733793377882,0.448222814717525,2.2310332432101
1,"normal",8,0.258748267040892,0.266910647229617,0.0424104768549626,"director",1,"luxury",1,1,26,2.45648688077927,6.82114337384701,2.77678803303161,0.360128316639363
1,"normal",9,0.000694762491004691,0.00107908447884662,0.000613112761041802,"matcher",1,"strength",0,0,26,0.0219658613204956,0.0262186452746386,1.1936087955802,0.837795434905376
1,"normal",10,0.221979092116139,0.234157722542158,0.0609878729099144,"director",1,"war",1,1,26,2.95722669363022,8.40041916928021,2.84064092461172,0.352033230013641
1,"normal",11,0.00173872018773413,0.00152112371830453,0.00132279031279971,"matcher",1,"luxury",0,0,26,0.0271806120872498,0.0451606065034871,1.66150071817815,0.601865523775704
1,"normal",12,0.206580432170582,0.27743612112016,0.0613675842468237,"director",1,"strength",1,1,26,1.08111774921417,2.29818053916097,2.12574489765933,0.470423333063673
1,"normal",13,0.000348316709067796,0.000697124360800546,0.000963033128435752,"matcher",1,"freedom",0,0,26,0.0249643325805664,0.0227687358856204,0.912050655155301,1.09643032911338
1,"normal",14,0.155638400256874,0.322220873189273,0.0283120506358481,"director",1,"freedom",1,1,26,0.954243421554566,1.82853297889233,1.91621229718665,0.521862844460492
1,"normal",15,0.0621193782835459,0.0252685522437871,0.00630931062716589,"matcher",1,"anger",0,0,26,0.108003199100494,0.52935079485178,4.90125106719507,0.204029539864459
1,"normal",16,0.105115377530767,0.262528309767464,0.0344781923472475,"director",1,"luck",1,1,26,0.715675473213196,1.90947440266609,2.66807299416459,0.374802339436412
1,"normal",17,0.0160672856191115,0.00466596115264986,0.00196460084588645,"matcher",1,"reality",0,0,26,0.0413411259651184,0.09987122565508,2.4157838792138,0.413944313729523
1,"normal",18,0.170966391736052,0.266630212087218,0.0563843559309576,"director",0,"strength",0,0,26,1.0460576415062,2.41969631100073,2.31315772189826,0.432309474850407
1,"normal",19,0.0269090044328154,0.00637478612019605,0.010896593989897,"matcher",1,"war",0,0,26,0.0878592729568481,0.148640975356102,1.69180748205265,0.591083802742563
1,"normal",20,0.267110795637133,0.287074751098668,0.0627308202986146,"director",1,"strength",0,0,26,1.51264315843582,2.90462619811296,1.92023226490281,0.520770335067051
1,"normal",21,0.011357634702713,0.010134049180356,0.00531456427738149,"matcher",1,"reality",0,0,26,0.0662719011306763,0.246498715132475,3.71950571700703,0.26885292726601
1,"normal",22,0.213340760914374,0.309443955407991,0.0655754001106831,"director",1,"strength",0,0,26,1.21450406312943,2.60432203114033,2.14435020038529,0.466341738313231
1,"normal",23,0.000421119534859349,0.000577338285749845,0.000480302775547196,"matcher",1,"strength",0,0,26,0.0128650069236755,0.0374882146716118,2.91396770277846,0.343174702673095
1,"normal",24,0.0571296060931273,0.190787992878607,0.0244696576406065,"director",0,"envy",0,0,26,0.861405909061432,1.61119996523485,1.87043059292497,0.534636251022929
1,"normal",25,0.0369749751332789,0.0050276284683918,0.012849716300335,"matcher",1,"anger",0,0,26,0.0878947377204895,0.213747639209032,2.43185934394346,0.411207992966574
1,"normal",26,0.128606800008447,0.0935813690847472,0.0473938726310573,"director",1,"war",0,0,26,2.79012203216553,3.69120459258556,1.32295453389925,0.755883875353315
1,"normal",27,0.0010786508390247,0.000738469755077807,0.000552376023275425,"matcher",1,"death",0,0,26,0.0311729311943054,0.12371201440692,3.96857175976827,0.251979820583713
1,"normal",28,0.30609351893994,0.263792848513303,0.0636991709291591,"director",1,"luxury",0,0,26,2.40440666675568,5.05920977890491,2.10414063846006,0.4752534035614
1,"normal",29,0.0702943374524251,0.0343166605476759,0.0331572871505003,"matcher",1,"freedom",0,0,26,0.212423086166382,0.325544618070125,1.53252936837167,0.652516043501675
1,"normal",30,0.146806701800421,0.315803795216444,0.0660694242399771,"director",1,"luck",0,0,26,2.93734580278397,5.65632038190961,1.92565695756647,0.519303293388113
1,"normal",31,0.00330639193744889,0.00437623317919666,0.0014857060138328,"matcher",1,"luck",0,0,26,0.0362799763679504,0.101089904084801,2.78638285371386,0.358888226241825
1,"normal",32,0.384629524249477,0.298193240834162,0.0794009884517929,"director",1,"luxury",0,0,26,2.97077256441116,5.71152008324862,1.92257063084218,0.520136937472071
1,"normal",33,0.05718675608894,0.0249812222997725,0.0266492754322475,"matcher",0,"envy",0,0,26,0.314821779727936,0.403526924550533,1.28176304987303,0.780175399890848
1,"normal",34,0.163103860053733,0.116686242722127,0.0482447192635003,"director",1,"war",0,0,26,2.84167867898941,3.51436973549426,1.23672312477781,0.808588422068733
1,"normal",35,0.000591577964680504,0.000730371138139487,0.000404479078129818,"matcher",1,"war",0,0,26,0.012141227722168,0.0179614201188093,1.47937428815494,0.675961457493755
1,"normal",36,0.0914195981791329,0.171901849410936,0.030947859306838,"director",0,"envy",0,0,26,1.75307738780975,3.0539326928556,1.74204100406035,0.574039300836892
1,"normal",37,0.000311093303355391,0.000648124689973038,0.000603686832053998,"matcher",0,"envy",0,0,26,0.0207566618919373,0.0290002971887589,1.39715611979129,0.715739626971236
1,"normal",38,0.412067270037707,0.279844762088089,0.0840115554583048,"director",0,"luxury",0,0,26,2.36705112457275,4.99361236393452,2.10963435140669,0.474015792989533
1,"normal",39,0.0366536395149205,0.00446194288510714,0.00564238075129541,"matcher",1,"war",0,0,26,0.0780982375144958,0.318961663171649,4.08410833999226,0.244851486971547
1,"normal",40,0.221887180274606,0.260583804089201,0.0544382836684649,"director",1,"war",0,0,26,0.897361695766449,2.95870462805033,3.29711491142182,0.303295464933847
1,"normal",41,0.0139638723210565,0.00279177932843971,0.00208811989757284,"matcher",1,"strength",0,0,26,0.0299093127250671,0.129006691277028,4.31326164070987,0.231843111616902
1,"normal",42,0.105479960133743,0.142670823432447,0.034481869769827,"director",1,"envy",0,0,26,2.71038556098938,3.8126169075258,1.40666957587173,0.710899003684135
1,"normal",43,0.0183430969662272,0.00279004375888079,0.00229240451381973,"matcher",1,"luxury",0,0,26,0.0294736623764038,0.0775171108543873,2.63004678089976,0.380221373727007
1,"normal",44,0.06924714866302,0.193731067320947,0.0376432708940832,"director",1,"death",0,0,26,1.16417413949966,1.98378271050751,1.70402574941245,0.586845592177701
1,"normal",45,0.000572473447397781,0.000953250229259645,0.000467752601271111,"matcher",0,"reality",0,0,26,0.017025887966156,0.0155469924211496,0.913138419097661,1.09512422113196
2,"modified",0,0.0370843615316542,0.0601227386959776,0.0170991223181517,"matcher",0,"freedom",0,0,27,0.391236156225205,1.11525762826204,2.85059959443031,0.350803389558416
2,"modified",1,0.287906670113979,0.153378817652442,0.081621406974273,"director",0,"luxury",1,0,27,3.3852519473312,9.21474815160036,2.72202728038157,0.367373246847041
2,"modified",2,0.0131860704422146,0.0204502627854204,0.013891531538372,"matcher",0,"luck",0,0,27,0.164905607700348,0.173071578145027,1.04951905856056,0.952817380345164
2,"modified",3,0.280794475725022,0.0924393950370148,0.139369650018866,"director",1,"freedom",1,1,27,7.20732993353158,15.497773562558,2.15027946624945,0.465055829112396
2,"modified",4,0.00666086457243677,0.00242393890715124,0.00287113699219076,"matcher",0,"war",0,0,27,0.0673386529088019,0.12836429476738,1.9062498167468,0.524590214364765
2,"modified",5,0.11035440887372,0.126142720182284,0.0958928391140124,"director",0,"luck",1,0,27,2.2799344342202,2.7189158052206,1.19254122592808,0.838545434118439
2,"modified",6,0.0277195400696357,0.0248055883566963,0.00539388521712433,"matcher",1,"reality",0,0,27,0.117922648787499,0.504523605108261,4.27842836211585,0.233730686916412
2,"modified",7,0.0112463741952351,0.0077277670021649,0.0268529712319616,"director",1,"death",1,1,27,0.153808176517486,0.114562630653381,0.744840965202895,1.34256847665139
2,"modified",8,0.0232187848479414,0.0453890481037513,0.0056273445154601,"matcher",0,"strength",0,0,27,0.0544738471508021,0.125581860542298,2.30536059248109,0.433771620483793
2,"modified",9,0.0547306621104044,0.187269386900901,0.0731539849681349,"director",1,"strength",1,1,27,1.66342633590102,0.472402036190033,0.283993361169281,3.52120907292592
