Pair,Condtion,Game,X,Y,Z,Role,Success,Target,Introducer,Succ_Introducer,Participant
2,modified,74,0.004159184832596136,0.0014265605608450285,0.0011210766064033296,matcher,0,fear,0,0,27
2,modified,75,0.2107142114417923,0.25026338683337257,0.06625790145093792,director,1,anger,0,0,27
3,normal,1,0.020709769094084243,0.04534233267259385,0.021671820010016402,matcher,0,fear,0,0,28
3,normal,2,0.12228409845888766,0.13097699027162837,0.07172714717469135,director,1,anger,1,1,28
3,normal,3,0.012356623620145918,0.0025417018864392336,0.003133125372470499,matcher,0,luck,0,0,28
3,normal,4,0.09955078255979474,0.17137202221658393,0.1395292243845627,director,0,fear,0,0,28
3,normal,5,0.0008746111201706635,0.0008450650795393597,0.0005704099281607152,matcher,1,fear,0,0,28
3,normal,6,0.1221656116967781,0.23769634849857924,0.06799042930366589,director,0,death,1,0,28
3,normal,7,0.0074419862425796485,0.005981201082358385,0.0013267631428540995,matcher,0,death,0,0,28
3,normal,8,0.12174762507808345,0.11876449992441665,0.05770303768749258,director,1,reality,1,1,28
3,normal,9,0.001263529352069399,0.0011669506526059369,0.0006816203561201614,matcher,0,luck,0,0,28
3,normal,10,0.15353088511465116,0.2625786375630017,0.11159656500913788,director,0,strength,1,0,28
3,normal,11,0.006518757440674698,0.0015333612878856418,0.0016150286357783652,matcher,0,luxury,0,0,28
3,normal,12,0.22296090004166175,0.17355945421287713,0.0710611576568804,director,1,war,1,1,28
3,normal,13,0.0049817599741424365,0.002510239564890234,0.0011114965778194399,matcher,1,anger,0,0,28
3,normal,14,0.09663608222054275,0.20072745397935607,0.07885996117292206,director,0,death,0,0,28
3,normal,15,0.00482466968957056,0.0011512829312416465,0.0007841665390772014,matcher,1,reality,0,0,28
3,normal,16,0.17696061264551802,0.2598750884985929,0.13565266822635247,director,0,strength,0,0,28
3,normal,17,0.026144142998625993,0.012837094949011566,0.015514908804874486,matcher,0,envy,0,0,28
3,normal,18,0.1529800037561403,0.3607197641347077,0.07344727433031754,director,0,freedom,1,0,28
3,normal,19,0.002012469816600936,0.000975650741441149,0.0005648080502693336,matcher,0,freedom,0,0,28
3,normal,20,0.15843203739889394,0.19076656511110499,0.09576659173656575,director,0,luck,1,0,28
3,normal,21,0.0012238302776171528,0.0007750714829467027,0.0008469037580230304,matcher,1,reality,0,0,28
3,normal,22,0.09435384271623538,0.18448500487509092,0.1773696106483984,director,1,fear,0,0,28
3,normal,23,0.010982550549816169,0.006932308924120701,0.007483224452468666,matcher,0,luck,0,0,28
3,normal,24,0.16015013860226177,0.18450369466757707,0.06904675128313706,director,1,death,0,0,28
3,normal,25,0.005347252952032382,0.0010732423093718748,0.0004236856373988732,matcher,0,war,0,0,28
3,normal,26,0.17645808559797133,0.3470505749110877,0.08338079018576193,director,0,freedom,0,0,28
3,normal,27,0.0021178191949224726,0.0011718275316201716,0.000740174748358269,matcher,0,luck,0,0,28
3,normal,28,0.1617681912164346,0.16928190602548013,0.07894589766598806,director,0,luck,0,0,28
3,normal,29,0.05851886033602266,0.05753673791013644,0.02387264925014212,matcher,1,strength,0,0,28
3,normal,30,0.15127553254757456,0.19348793723908145,0.0755060487738901,director,0,reality,0,0,28
3,normal,31,0.036765214235717776,0.014668847898435417,0.008935745292870811,matcher,1,anger,0,0,28
3,normal,32,0.11034178884513107,0.19999486967041513,0.20622072901765556,director,1,fear,0,0,28
3,normal,33,0.0002800859392647564,0.0006923667149155388,0.00046634293489146824,matcher,1,anger,0,0,28
3,normal,34,0.18420427036238654,0.23387812936846672,0.06547592392990384,director,0,reality,0,0,28
3,normal,35,0.000498286143689968,0.0005726028487981654,0.0004569549044683999,matcher,0,freedom,0,0,28
3,normal,36,0.033596221595260954,0.2998777279195237,0.08627387710525433,director,1,strength,0,0,28
3,normal,37,0.01636833407439981,0.003836050577870878,0.0020137655154959734,matcher,1,anger,0,0,28
3,normal,38,0.24758844626361348,0.20790183852342145,0.05904077275586242,director,1,war,0,0,28
3,normal,39,0.024711360527966058,0.008218617975468355,0.0039943581043678,matcher,1,fear,0,0,28
3,normal,40,0.14073731856016902,0.16376283260492458,0.04030467537751722,director,0,envy,1,0,28
3,normal,41,0.011936289093137932,0.005898419209934242,0.003461551628310394,matcher,1,freedom,0,0,28
3,normal,42,0.2333255300189514,0.1923908789784018,0.0473128477915559,director,1,war,0,0,28
3,normal,43,0.02237174678488845,0.01587828035565601,0.03058239946230146,matcher,0,envy,0,0,28
3,normal,44,0.2091579910327206,0.22546205701912456,0.055321023927217224,director,0,luck,0,0,28
3,normal,45,0.005903686853148123,0.002338958725864496,0.0006908786379954907,matcher,1,anger,0,0,28
4,normal,0,0.030002087857458195,0.03840533179233382,0.014536261813830768,matcher,0,freedom,0,0,29
4,normal,1,0.09375203621256906,0.24892218398155586,0.05901610629076744,director,1,death,1,1,29
4,normal,2,0.0025719962601456776,0.002667067441501897,0.0041226459456718285,matcher,0,war,0,0,29
4,normal,3,0.14236747645197104,0.20792989322621644,0.04756779008003873,director,0,strength,1,0,29
4,normal,4,0.015518551280522043,0.029258684278090745,0.02121530385536122,matcher,1,strength,0,0,29
4,normal,5,0.16092973689165607,0.2731028073183885,0.09940366203431664,director,0,reality,1,0,29
4,normal,6,0.0444445169552537,0.02414448769452554,0.009591233106991273,matcher,1,luck,0,0,29
4,normal,7,0.1429218073213848,0.18865285865232279,0.056590977413539155,director,0,envy,1,0,29
4,normal,8,0.11235851144686701,0.19932365841392669,0.06586008781027403,matcher,0,war,0,0,29
4,normal,9,0.13998327525244114,0.2518095187666123,0.12845724682876788,director,1,luck,1,1,29
4,normal,10,0.11863056531294983,0.1789752208056064,0.04417140642126056,matcher,0,war,0,0,29
4,normal,11,0.19371262132241035,0.24593422862984055,0.13600680055738304,director,1,strength,0,0,29
4,normal,12,0.01306066864682886,0.02589627557606281,0.01245198987186071,matcher,1,luck,0,0,29
4,normal,13,0.12803311792445365,0.2823401041818309,0.10148453679877142,director,1,envy,0,0,29
4,normal,14,0.0012202916619886677,0.0014493231039619996,0.0006127397028775945,matcher,1,reality,0,0,29
4,normal,15,0.2058779198445548,0.2260491018020736,0.12286991934977638,director,1,war,1,1,29
4,normal,16,0.014173304225728909,0.026905870741163893,0.019928333966673532,matcher,1,luck,0,0,29
4,normal,17,0.21633315556002833,0.3017324285559335,0.12881702877680873,director,1,freedom,1,1,29
4,normal,18,0.1382363968465664,0.23542679601910108,0.06044088036170257,matcher,0,luxury,0,0,29
4,normal,19,0.12675848455901687,0.25636877498311733,0.06781928974333015,director,1,fear,1,1,29
4,normal,20,0.0024455416992317115,0.006081689038319379,0.006938742007428626,matcher,1,war,0,0,29
4,normal,21,0.18874534404554574,0.20436952122933952,0.14671299957869124,director,1,fear,0,0,29
4,normal,22,0.1284830798481049,0.19385155819943098,0.04243543773626691,matcher,1,death,0,0,29
4,normal,23,0.17952505524984302,0.20087380429390594,0.16509866364687026,director,1,war,0,0,29
4,normal,24,0.0022152945621708143,0.032987164892966166,0.00827195648719208,matcher,1,fear,0,0,29
4,normal,25,0.18773720037342956,0.2411620307011329,0.07899236746009182,director,1,strength,0,0,29
4,normal,26,0.002194895793175877,0.0021361159122148285,0.002517668915060653,matcher,1,luxury,0,0,29
4,normal,27,0.12302820445808173,0.19888393914094468,0.16471368100905495,director,1,luck,0,0,29
4,normal,28,0.0017175073549779466,0.0013440637852682967,0.0007913705875981748,matcher,1,luck,0,0,29
4,normal,29,0.15294900957099006,0.21512941745218245,0.09981726632083429,director,1,anger,1,1,29
4,normal,30,0.004618710478399578,0.02520632213672891,0.007473244999879938,matcher,1,fear,0,0,29
4,normal,31,0.1472949167688041,0.2329409408310202,0.14872247001929492,director,1,death,0,0,29
4,normal,32,0.01409389012368293,0.03917202365513348,0.02293840868401063,matcher,1,luxury,0,0,29
4,normal,33,0.11703623548049817,0.23473103197112333,0.09243914598158433,director,1,envy,0,0,29
4,normal,34,0.0022525905610941586,0.011306052913503492,0.006960862997462128,matcher,1,envy,0,0,29
4,normal,35,0.16903506712219876,0.2764595058612384,0.1358783108124466,director,1,freedom,0,0,29
4,normal,36,0.000862418922714221,0.0015775365955766315,0.00392480673527473,matcher,1,reality,0,0,29
4,normal,37,0.09506636820900953,0.2308804306623245,0.1311447717365161,director,1,luck,0,0,29
4,normal,38,0.004523775171794785,0.014268842987946447,0.020374093045929038,matcher,0,anger,0,0,29
4,normal,39,0.18472167778367624,0.27446057452068606,0.16282669582503537,director,0,freedom,0,0,29
4,normal,40,0.014753592389161652,0.00590190275775971,0.015878092173941802,matcher,0,freedom,0,0,29
4,normal,41,0.19295572490157029,0.2429756516114521,0.08284465738571878,director,1,freedom,0,0,29
4,normal,42,0.0021174025619600362,0.0014222010936089905,0.00121253859012292,matcher,1,fear,0,0,29
4,normal,43,0.09940252420047498,0.16794529678878495,0.07144467251028601,director,1,luck,0,0,29
4,normal,44,0.001731071101662952,0.0006768264661097435,0.002272310551238061,matcher,1,anger,0,0,29
4,normal,45,0.18910203718143467,0.27057150376040545,0.06925619814861678,director,1,freedom,0,0,29
4,normal,46,0.012294987965135805,0.003409093183836679,0.008331565575950337,matcher,1,war,0,0,29
4,normal,47,0.16740184173955042,0.30955433947453215,0.07823045031872884,director,1,luxury,1,1,29
4,normal,48,0.1391712704901889,0.25311790367106857,0.15264463849406665,matcher,1,death,0,0,29
4,normal,49,0.13014358237167944,0.272510288466899,0.10257812922513723,director,1,death,0,0,29
4,normal,50,0.0009504997376773192,0.0011570438454765663,0.0009286020141724181,matcher,1,strength,0,0,29
4,normal,51,0.12678280939912911,0.24133260388708885,0.11137519702272072,director,1,anger,0,0,29
4,normal,52,0.0018007273428360152,0.002454311899584751,0.005090088329515842,matcher,1,anger,0,0,29
4,normal,53,0.21983382912447977,0.2617941466657759,0.12358507095343371,director,1,strength,0,0,29
4,normal,54,0.014643990124959828,0.0033812868106515306,0.018943205350198437,matcher,1,war,0,0,29
4,normal,55,0.13982313873215735,0.24719834906379834,0.11507017432993959,director,1,death,0,0,29
4,normal,56,0.004742236765314608,0.003030828780614105,0.013348886608272374,matcher,1,luxury,0,0,29
4,normal,57,0.17372682502693368,0.240563961602204,0.11904115038951818,director,1,strength,0,0,29
4,normal,58,0.0008340104543164394,0.0013492543928166024,0.0008610190642959553,matcher,1,luck,0,0,29
4,normal,59,0.1574652275608725,0.17038710097860202,0.09178980543075389,director,0,anger,0,0,29
5,modified,1,0.0021588501745865214,0.001402093868736444,0.0006623497051536713,matcher,1,fear,0,0,30
5,modified,2,0.10901372026640442,0.23135975687008598,0.14649119252360832,director,1,war,1,1,30
5,modified,3,0.002669183507497635,0.0024985505318453017,0.0011533671024963172,matcher,0,reality,0,0,30
5,modified,4,0.0848255384748393,0.19581552463870525,0.1682205485073591,director,1,war,0,0,30
5,modified,5,0.006080452201147625,0.004950224268042668,0.0007830432357572247,matcher,1,fear,0,0,30
5,modified,6,0.3014814899637166,0.2728422210439289,0.1693556320406897,director,1,reality,1,1,30
5,modified,7,0.0021144242102299556,0.0014017382922438548,0.0007056259815878874,matcher,1,freedom,0,0,30
5,modified,8,0.1039058988677353,0.1779102173088565,0.23072237366232987,director,1,war,0,0,30
5,modified,9,0.09161689684967833,0.11909606022973172,0.056248890573695136,matcher,0,strength,0,0,30
5,modified,10,0.30549148697422945,0.24187213988568929,0.15216361636322057,director,1,reality,0,0,30
5,modified,11,0.0011364435062226391,0.0015590631959929095,0.0006648087442863629,matcher,1,war,0,0,30
5,modified,12,0.20907760773315262,0.1694404751714522,0.11635268375296255,director,1,luck,1,1,30
5,modified,13,0.0011662882441784799,0.001133007470116407,0.0007994988991480141,matcher,1,luck,0,0,30
5,modified,14,0.20393586924838977,0.1611351149779769,0.09011594617968023,director,1,luck,0,0,30
5,modified,15,0.00099912011024968,0.0005982424846970811,0.0007171092749170611,matcher,1,luck,0,0,30
5,modified,16,0.29241086077556616,0.3064316559185037,0.1314976077862817,director,1,luxury,1,1,30
5,modified,17,0.0007304332531814543,0.0006231855818903993,0.0005882351372557482,matcher,1,reality,0,0,30
5,modified,18,0.3549513598837644,0.327801291879342,0.15200356447340874,director,1,luxury,0,0,30
5,modified,19,0.008158279729429719,0.00886791960548627,0.0015416435475813681,matcher,1,anger,0,0,30
5,modified,20,0.07430510527017137,0.1927893326977049,0.16457334972434642,director,1,war,0,0,30
5,modified,21,0.0009869912955799778,0.0009990331788382976,0.0005340241822849397,matcher,1,death,0,0,30
5,modified,22,0.22018293860487625,0.1949360970767423,0.08362865547142156,director,1,luck,0,0,30
5,modified,23,0.002409634533018637,0.002689694732490567,0.0006208479862343061,matcher,1,reality,0,0,30
5,modified,24,0.07549581551718809,0.11620862967644095,0.03684314208792876,director,1,envy,1,1,30
5,modified,25,0.005132382348029065,0.008875662722903568,0.0007673595844947874,matcher,1,freedom,0,0,30
5,modified,26,0.059918260489172356,0.12561057445438853,0.03780416895915734,director,1,envy,0,0,30
5,modified,27,0.0006824560478334456,0.0011667469302259206,0.0009097105545318909,matcher,1,death,0,0,30
5,modified,28,0.06828660542064588,0.1594581481742005,0.16522603866537772,director,1,war,0,0,30
5,modified,29,0.003919950784848435,0.004428370308953948,0.0010851973808401957,matcher,1,death,0,0,30
5,modified,30,0.07272633350008577,0.12520227823621885,0.0891539488902094,director,1,death,1,1,30
5,modified,31,0.0008730901502521446,0.0007507504764513329,0.000890259848273516,matcher,1,war,0,0,30
5,modified,32,0.12981209922508047,0.2277733692826286,0.11870428598946588,director,1,strength,1,1,30
5,modified,33,0.002212040229172777,0.001625627616986963,0.0008472515507304408,matcher,1,envy,0,0,30
5,modified,34,0.3034755797310618,0.23916135653221057,0.1543943170289866,director,0,reality,0,0,30
5,modified,35,0.005513329373849635,0.007600159838410637,0.0021712584869609205,matcher,1,fear,0,0,30
5,modified,36,0.3232492699574433,0.26608485288209216,0.17052179796284414,director,0,freedom,1,0,30
5,modified,37,0.002200646432656682,0.0025429679423335815,0.00042770515273563676,matcher,1,luxury,0,0,30
5,modified,38,0.06504423642154526,0.16611535079229625,0.06424423442049897,director,1,fear,0,0,30
5,modified,39,0.007173528081916181,0.00925183479389278,0.0014272982147249546,matcher,1,envy,0,0,30
5,modified,40,0.04715144889003902,0.09261431975635677,0.06609509985727434,director,1,death,0,0,30
5,modified,41,0.00041654052805148336,0.0007531250158772199,0.0010879639815183058,matcher,0,freedom,0,0,30
5,modified,42,0.10081828235347973,0.14719071153328755,0.04915884923969987,director,1,strength,0,0,30
5,modified,43,0.0013243959774185269,0.0013416120825771934,0.0008188405653561556,matcher,1,luck,0,0,30
5,modified,44,0.062429678473820464,0.12268225841961967,0.06806831344307032,director,1,death,0,0,30
5,modified,45,0.00013355968958469458,0.0006312908662536787,0.00037536020581830786,matcher,1,strength,0,0,30
5,modified,46,0.2851112447543452,0.2079654405090519,0.12007195356733624,director,1,reality,0,0,30
5,modified,47,0.004626306492262987,0.006004051182637447,0.0016390443696494073,matcher,1,anger,0,0,30
5,modified,48,0.07747963339587258,0.146018197056189,0.05992264836709516,director,1,fear,0,0,30
5,modified,49,0.0015279904251766655,0.001186675186195335,0.0003422241963655333,matcher,1,war,0,0,30
5,modified,50,0.058935531834386205,0.17068246496375236,0.06113443568205603,director,1,fear,0,0,30
5,modified,51,0.0006086697852752273,0.0004613049148580825,0.00031611349282849294,matcher,1,death,0,0,30
5,modified,52,0.2272593378048032,0.21351182169747795,0.09229899803751139,director,1,reality,0,0,30
5,modified,53,0.0007298540756840428,0.0011103882156839895,0.0004369872076428966,matcher,1,luck,0,0,30
5,modified,54,0.06626728427280668,0.1580425436539528,0.08745011585238055,director,1,fear,0,0,30
5,modified,55,0.00010665335019748708,0.0003522009321810943,0.00027821191182675006,matcher,1,strength,0,0,30
5,modified,56,0.09946405985428035,0.20215134553764916,0.06812463368231396,director,1,strength,0,0,30
5,modified,57,0.0009155339780417126,0.0015455929444621855,0.0009632994126012556,matcher,1,war,0,0,30
5,modified,58,0.31550828377997614,0.31250603899196283,0.15302635052260008,director,0,luxury,0,0,30
5,modified,59,0.0006375941422967364,0.0009753965261467138,0.0007109892040590496,matcher,0,freedom,0,0,30
